Agency ID - NCES Assigned [Public School] Latest available year,School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2017-18,"Total Students, All Grades (Excludes AE) [Public School] 2017-18",Free Lunch Eligible [Public School] 2017-18,Direct Certification [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2017-18,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2017-18,National School Lunch Program [Public School] 2017-18,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Total Race/Ethnicity [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,White Students [Public School] 2018-19,Black Students [Public School] 2018-19,Hispanic Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2018-19
1302880,HUNTINGTON MIDDLE SCHOOL,Georgia,13-City: Small,826,802,356,0,802,826,NA,130288000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Huntington Middle School,Houston County,13153,31088,Warner Robins,48,818,1,180,493,90,5,1
1301740,HUNTLEY HILLS ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,529,317,131,29,346,395,NA,130174000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Huntley Hills Elementary School,DeKalb County,13089,30341,Chamblee,16,530,2,94,128,213,75,2
1300420,HUTCHINGS HIGH - ALTERNATIVE SCHOOL PROGRAM,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130042000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300120,HUTCHINSON ELEMENTARY SCHOOL,Georgia,11-City: Large,457,457,153,0,457,362,NA,130012000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Hutchinson Elementary School,Fulton County,13121,30315,Atlanta,4,445,0,0,378,60,0,3
1301710,HUTTO MIDDLE SCHOOL,Georgia,32-Town: Distant,760,757,401,0,757,760,NA,130171000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,6th Grade,5th Grade,Hutto Middle School,Decatur County,13087,39817,Bainbridge,22,774,1,299,356,88,7,1
1301740,IDLEWOOD ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,1039,903,518,44,947,808,NA,130174000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Idlewood Elementary School,DeKalb County,13089,30084,Tucker,12,993,0,34,750,47,147,3
1303480,ILA ELEMENTARY SCHOOL,Georgia,42-Rural: Distant,449,219,116,32,251,362,NA,130348000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Ila Elementary School,Madison County,13195,30633,Danielsville,20,460,0,396,17,24,3,0
1302280,INDEPENDENCE HIGH SCHOOL,Georgia,13-City: Small,175,73,33,10,83,NA,175,130228000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Independence High School,Fulton County,13121,30075,Roswell,7,211,0,51,44,108,0,1
1301350,INDIAN CREEK ELEMENTARY,Georgia,41-Rural: Fringe,766,687,256,0,687,562,NA,130135000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Indian Creek Elementary,Coffee County,13069,31535,Douglas,30,782,0,473,130,140,7,2
1301740,INDIAN CREEK ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,1182,1182,780,0,1182,923,NA,130174000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Indian Creek Elementary School,DeKalb County,13089,30021,Clarkston,7,952,4,44,289,23,580,5
1303930,INDIAN CREEK MIDDLE SCHOOL,Georgia,41-Rural: Fringe,968,540,329,110,650,968,NA,130393000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Indian Creek Middle School,Newton County,13217,30014,Covington,31,939,0,530,327,46,5,0
1301110,INDIAN KNOLL ELEMENTARY,Georgia,21-Suburb: Large,976,247,122,36,283,811,NA,130111000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Indian Knoll Elementary,Cherokee County,13057,30115,Canton,40,945,0,690,36,168,11,0
1300420,INGRAM/PYE ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,456,452,329,0,452,351,NA,130042000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Ingram/Pye Elementary School,Bibb County,13021,31204,Macon,3,435,0,5,423,4,0,0
1302130,INMAN ELEMENTARY,Georgia,41-Rural: Fringe,646,162,104,38,200,535,NA,130213000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Inman Elementary,Fayette County,13113,30215,Fayetteville,48,678,1,369,181,65,14,0
1300120,INMAN MIDDLE SCHOOL,Georgia,11-City: Large,1075,207,145,18,225,1075,NA,130012000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Inman Middle School,Fulton County,13121,30306,Atlanta,60,1065,0,570,320,80,30,5
1300249,INTERNATIONAL ACADEMY OF SMYRNA,GEORGIA,21-Suburb: Large,554,240,92,100,340,475,NA,130025000000,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,6th Grade,Kindergarten,International Academy of Smyrna,Cobb County,13067,30080,Smyrna,21,497,0,9,355,99,10,3
1301290,INTERNATIONAL ACADEMY OF SMYRNA,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130129000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300250,INTERNATIONAL CHARTER ACADEMY OF GEORGIA,GEORGIA,NA,NA,NA,NA,NA,NA,NA,NA,130025000000,NA,NA,5th Grade,Kindergarten,International Charter Academy of Georgia,Gwinnett County,13135,30092,Peachtree Corners,39,140,1,15,32,9,44,0
1300234,INTERNATIONAL CHARTER SCHOOL OF ATLANTA,GEORGIA,13-City: Small,637,7,3,0,7,515,NA,130023000000,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,7th Grade,Kindergarten,International Charter School of Atlanta,Fulton County,13121,30076,Roswell,67,733,0,270,210,139,46,1
1301740,INTERNATIONAL COMMUNITY SCHOOL,Georgia,21-Suburb: Large,437,279,173,26,305,361,NA,130174000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,International Community School,DeKalb County,13089,30033,Decatur,12,431,0,85,156,16,159,3
1301740,INTERNATIONAL STUDENT CENTER,Georgia,21-Suburb: Large,234,231,185,0,231,234,NA,130174000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301830,INTERNATIONAL STUDIES ELEMENTARY CHARTER SCHOOL,Georgia,13-City: Small,426,NA,147,NA,NA,351,NA,130183000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Kindergarten,International Studies Elementary Charter School,Dougherty County,13095,31705,Albany,9,400,1,29,277,83,1,0
1302550,INTERNATIONAL TRANSITION CENTER,GEORGIA,21-Suburb: Large,132,120,16,6,126,19,113,130255000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,11th Grade,8th Grade,International Transition Center,Gwinnett County,13135,30046,Lawrenceville,0,181,0,1,1,176,3,0
1300120,INTOWN CHARTER ACADEMY,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130012000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304020,IRMA C. AUSTIN MIDDLE SCHOOL,Georgia,21-Suburb: Large,927,315,138,86,401,927,NA,130402000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Irma C. Austin Middle School,Paulding County,13223,30134,Douglasville,31,894,1,503,274,77,5,3
1302910,IRWIN COUNTY ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,877,772,392,0,772,662,NA,130291000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Irwin County Elementary School,Irwin County,13155,31774,Ocilla,29,828,0,501,255,40,3,0
1302910,IRWIN COUNTY HIGH SCHOOL,Georgia,41-Rural: Fringe,479,365,176,0,365,NA,479,130291000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Irwin County High School,Irwin County,13155,31774,Ocilla,5,474,0,290,153,24,1,1
1302910,IRWIN COUNTY MIDDLE SCHOOL,Georgia,41-Rural: Fringe,377,288,166,0,288,377,NA,130291000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Irwin County Middle School,Irwin County,13155,31774,Ocilla,6,417,0,246,140,24,0,1
1301020,ISLANDS HIGH SCHOOL,Georgia,21-Suburb: Large,1019,192,111,35,227,NA,1019,130102000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Islands High School,Chatham County,13051,31410,Savannah,53,1016,0,660,182,73,47,1
1301020,ISLE OF HOPE SCHOOL,Georgia,21-Suburb: Large,817,523,294,65,588,670,NA,130102000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,Prekindergarten,Isle of Hope School,Chatham County,13051,31406,Savannah,38,833,3,189,553,39,11,0
1302280,ISON SPRINGS ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,684,450,131,67,517,534,NA,130228000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Ison Springs Elementary School,Fulton County,13121,30350,Sandy Springs,36,650,1,60,295,227,30,1
1300840,ITHICA ELEMENTARY,Georgia,41-Rural: Fringe,732,305,138,67,372,593,NA,130084000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Ithica Elementary,Carroll County,13045,30180,Villa Rica,39,736,0,428,178,81,7,3
1302550,IVY CREEK ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,1140,299,148,65,364,940,NA,130255000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Ivy Creek Elementary School,Gwinnett County,13135,30519,Buford,63,1237,1,591,204,229,146,3
1300215,IVY PREPARATORY ACADEMY AT GWINNETT,Georgia,21-Suburb: Large,106,40,14,7,47,106,NA,130022000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300226,IVY PREPARATORY ACADEMY- INC,Georgia,21-Suburb: Large,512,325,120,50,375,466,NA,130023000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,Kindergarten,Ivy Preparatory Academy- Inc,DeKalb County,13089,30317,Atlanta,3,509,0,0,478,26,1,1
1300229,IVY PREPARATORY YOUNG MEN'S LEADERSHIP ACADEMY- INC.,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130023000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304020,J. A. DOBBINS MIDDLE SCHOOL,Georgia,21-Suburb: Large,673,307,145,59,366,673,NA,130402000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,J. A. Dobbins Middle School,Paulding County,13223,30127,Powder Springs,35,643,0,276,225,102,5,0
1305340,J. D. DICKERSON PRIMARY SCHOOL,Georgia,33-Town: Remote,505,467,272,0,467,181,NA,130534000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),1st Grade,Prekindergarten,J. D. Dickerson Primary School,Toombs County,13279,30474,Vidalia,30,529,0,202,266,31,0,0
1301110,J. KNOX ELEMENTARY,Georgia,21-Suburb: Large,804,215,127,30,245,674,NA,130111000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,J. Knox Elementary,Cherokee County,13057,30114,Canton,41,1023,0,662,59,251,7,3
1305310,J. L. LOMAX ELEMENTARY SCHOOL,Georgia,13-City: Small,606,606,459,0,606,450,NA,130531000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,J. L. Lomax Elementary School,Lowndes County,13185,31601,Valdosta,12,615,0,14,517,71,1,0
1305340,J. R. TRIPPE MIDDLE SCHOOL,Georgia,33-Town: Remote,547,506,240,0,506,547,NA,130534000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,J. R. Trippe Middle School,Toombs County,13279,30474,Vidalia,15,568,0,233,277,35,7,1
1304980,J. T. REDDICK ELEMENTARY SCHOOL,Georgia,32-Town: Distant,637,614,305,0,614,637,NA,130498000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Kindergarten,J. T. Reddick Elementary School,Tift County,13277,31794,Tifton,21,358,0,145,164,15,13,0
1305670,JACK P NIX ELEMENTARY SCHOOL,Georgia,32-Town: Distant,482,252,161,30,282,372,NA,130567000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Jack P Nix Elementary School,White County,13311,30528,Cleveland,23,470,0,400,19,22,6,0
1302940,JACKSON COUNTY COMPREHENSIVE HIGH SCHOOL,Georgia,31-Town: Fringe,1190,304,175,67,371,NA,1190,130294000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Jackson County Comprehensive High School,Jackson County,13157,30549,Jefferson,38,1228,2,934,59,158,35,2
1300690,JACKSON ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,557,484,192,0,484,429,NA,130069000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Jackson Elementary School,Butts County,13035,30233,Jackson,32,527,0,240,217,29,9,0
1300120,JACKSON ELEMENTARY SCHOOL,Georgia,11-City: Large,742,24,11,10,34,612,NA,130012000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Jackson Elementary School,Fulton County,13121,30327,Atlanta,39,700,1,457,101,54,48,0
1302550,JACKSON ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,1581,860,382,129,989,1327,NA,130255000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Jackson Elementary School,Gwinnett County,13135,30043,Lawrenceville,76,1545,2,235,410,594,226,2
1302280,JACKSON ELEMENTARY SCHOOL,Georgia,13-City: Small,657,419,144,43,462,509,NA,130228000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Jackson Elementary School,Fulton County,13121,30076,Roswell,22,650,1,138,126,348,9,6
1300690,JACKSON HIGH SCHOOL,Georgia,41-Rural: Fringe,962,837,292,0,837,NA,962,130069000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Jackson High School,Butts County,13035,30233,Jackson,32,981,1,598,317,32,1,0
1302400,JACKSON LEARNING CENTER,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130240000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302520,JACKSON ROAD ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,415,330,145,39,369,313,NA,130252000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Jackson Road Elementary School,Spalding County,13255,30223,Griffin,30,422,0,238,116,34,4,0
1301020,JACOB G. SMITH ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,505,162,97,26,188,412,NA,130102000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Jacob G. Smith Elementary School,Chatham County,13051,31405,Savannah,23,519,1,226,232,30,7,0
1301230,JAMES JACKSON ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,1074,1069,475,0,1069,874,NA,130123000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,James Jackson Elementary School,Clayton County,13063,30236,Jonesboro,13,636,0,19,512,82,8,2
1304380,JAMESTOWN ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,309,298,178,0,298,240,NA,130438000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Jamestown Elementary School,Richmond County,13245,30815,Hephzibah,9,285,1,11,241,21,2,0
1302400,JANE MACON MIDDLE,Georgia,41-Rural: Fringe,807,482,310,71,553,807,NA,130240000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Jane Macon Middle,Glynn County,13127,31523,Brunswick,27,822,0,375,300,108,9,3
1302970,JASPER COUNTY HIGH SCHOOL,Georgia,41-Rural: Fringe,691,327,216,60,387,NA,691,130297000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Jasper County High School,Jasper County,13159,31064,Monticello,22,670,0,448,152,48,0,0
1302970,JASPER COUNTY MIDDLE SCHOOL,Georgia,41-Rural: Fringe,512,303,213,39,342,512,NA,130297000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Jasper County Middle School,Jasper County,13159,31064,Monticello,26,555,0,361,127,40,0,1
1302970,JASPER COUNTY PRIMARY SCHOOL,Georgia,41-Rural: Fringe,661,341,226,62,403,361,NA,130297000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,2nd Grade,Prekindergarten,Jasper County Primary School,Jasper County,13159,31064,Monticello,35,625,0,416,124,50,0,0
1304110,JASPER MIDDLE SCHOOL,Georgia,32-Town: Distant,556,224,100,55,279,556,NA,130411000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304110,JASPER MIDDLE SCHOOL,Georgia,32-Town: Distant,482,239,115,45,284,414,NA,130411000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,6th Grade,5th Grade,Jasper Middle School,Pickens County,13227,30143,Jasper,17,685,0,618,5,40,3,2
1303000,JEFF DAVIS ELEMENTARY SCHOOL,Georgia,33-Town: Remote,704,596,292,0,596,704,NA,130300000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,3rd Grade,Jeff Davis Elementary School,Jeff Davis County,13161,31539,Hazlehurst,19,679,0,404,101,153,2,0
1303000,JEFF DAVIS HIGH SCHOOL,Georgia,33-Town: Remote,860,408,270,80,488,NA,860,130300000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Jeff Davis High School,Jeff Davis County,13161,31539,Hazlehurst,13,863,0,531,127,184,7,1
1303000,JEFF DAVIS MIDDLE SCHOOL,Georgia,41-Rural: Fringe,688,582,254,0,582,688,NA,130300000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Jeff Davis Middle School,Jeff Davis County,13161,31539,Hazlehurst,13,682,0,423,85,159,2,0
1303000,JEFF DAVIS PRIMARY SCHOOL,Georgia,33-Town: Remote,881,746,283,0,746,440,NA,130300000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),2nd Grade,Prekindergarten,Jeff Davis Primary School,Jeff Davis County,13161,31539,Hazlehurst,41,875,1,490,121,211,11,0
1303030,JEFFERSON ACADEMY,Georgia,31-Town: Fringe,850,171,57,52,223,850,NA,130303000000,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,5th Grade,3rd Grade,Jefferson Academy,Jackson County,13157,30549,Jefferson,38,897,0,708,76,62,12,1
1303060,JEFFERSON COUNTY HIGH SCHOOL,Georgia,42-Rural: Distant,828,828,339,0,828,NA,828,130306000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Jefferson County High School,Jefferson County,13163,30434,Louisville,18,781,0,195,530,32,6,0
1303030,JEFFERSON ELEMENTARY SCHOOL,Georgia,31-Town: Fringe,902,190,53,72,262,529,NA,130303000000,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,2nd Grade,Prekindergarten,Jefferson Elementary School,Jackson County,13157,30549,Jefferson,49,917,0,729,63,63,13,0
1303030,JEFFERSON HIGH SCHOOL,Georgia,31-Town: Fringe,1103,192,70,47,239,NA,1103,130303000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Jefferson High School,Jackson County,13157,30549,Jefferson,32,1134,2,884,97,90,28,1
1303030,JEFFERSON MIDDLE SCHOOL,Georgia,31-Town: Fringe,869,193,80,60,253,869,NA,130303000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Jefferson Middle School,Jackson County,13157,30549,Jefferson,37,884,0,707,70,52,15,3
1301500,JEFFERSON PARKWAY ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,517,355,178,51,406,385,NA,130150000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Jefferson Parkway Elementary School,Coweta County,13077,30263,Newnan,25,515,0,120,212,143,14,1
1305220,JEFFERSONVILLE ELEMENTARY,Georgia,42-Rural: Distant,385,355,261,0,355,295,NA,130522000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Jeffersonville Elementary,Twiggs County,13289,31044,Jeffersonville,2,372,0,132,228,9,1,0
1305220,JEFFERSONVILLE SCHOOL,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130522000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1303090,JENKINS COUNTY ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,603,603,302,0,603,436,NA,130309000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Jenkins County Elementary School,Jenkins County,13165,30442,Millen,17,588,0,208,302,60,1,0
1303090,JENKINS COUNTY HIGH SCHOOL,Georgia,32-Town: Distant,309,309,136,0,309,NA,309,130309000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Jenkins County High School,Jenkins County,13165,30442,Millen,6,305,0,113,177,9,0,0
1303090,JENKINS COUNTY MIDDLE SCHOOL,Georgia,32-Town: Distant,240,240,109,0,240,240,NA,130309000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Jenkins County Middle School,Jenkins County,13165,30442,Millen,5,270,0,105,142,18,0,0
1302550,JENKINS ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,917,734,387,63,797,801,NA,130255000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Jenkins Elementary School,Gwinnett County,13135,30046,Lawrenceville,26,850,0,73,439,296,15,1
1301020,JENKINS HIGH SCHOOL,Georgia,12-City: Mid-size,1059,445,299,54,499,NA,1059,130102000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Jenkins High School,Chatham County,13051,31406,Savannah,50,1052,1,220,663,78,37,3
1304380,JENKINS-WHITE ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,419,404,353,0,404,324,NA,130438000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304950,JERGER ELEMENTARY SCHOOL,Georgia,32-Town: Distant,843,210,122,48,258,613,NA,130495000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Jerger Elementary School,Thomas County,13275,31792,Thomasville,7,834,2,593,192,23,14,3
1305550,JESUP ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,735,657,374,0,657,582,NA,130555000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Jesup Elementary School,Wayne County,13305,31546,Jesup,47,757,0,392,246,66,6,0
1301710,JOHN JOHNSON ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,371,368,155,0,368,256,NA,130171000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,4th Grade,Prekindergarten,John Johnson Elementary School,Decatur County,13087,39819,Bainbridge,8,382,0,157,154,59,3,1
1300120,JOHN LEWIS INVICTUS ACADEMY,GEORGIA,11-City: Large,333,333,211,0,333,333,NA,130012000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),7th Grade,6th Grade,John Lewis Invictus Academy,Fulton County,13121,30318,Atlanta,0,662,0,3,630,28,0,1
1301740,JOHN ROBERT LEWIS ELEMENTARY SCHOOL,GEORGIA,21-Suburb: Large,406,385,179,9,394,318,NA,130174000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,John Robert Lewis Elementary School,DeKalb County,13089,30329,Atlanta,2,380,0,0,10,363,4,1
1302220,JOHNS CREEK ELEMENTARY,Georgia,21-Suburb: Large,1045,28,16,7,35,901,NA,130222000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Johns Creek Elementary,Forsyth County,13117,30024,Suwanee,42,1022,1,183,43,49,701,3
1302280,JOHNS CREEK HIGH SCHOOL,Georgia,21-Suburb: Large,2142,143,48,52,195,NA,2142,130228000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Johns Creek High School,Fulton County,13121,30022,Johns Creek,61,2127,3,1142,210,169,539,3
1303120,JOHNSON COUNTY ELEMENTARY SCHOOL,Georgia,33-Town: Remote,538,485,227,53,538,407,NA,130312000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Johnson County Elementary School,Johnson County,13167,31096,Wrightsville,16,499,1,260,201,20,1,0
1303120,JOHNSON COUNTY HIGH SCHOOL,Georgia,41-Rural: Fringe,373,336,116,37,373,NA,373,130312000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Johnson County High School,Johnson County,13167,31096,Wrightsville,6,353,0,185,148,11,2,1
1303120,JOHNSON COUNTY MIDDLE SCHOOL,Georgia,41-Rural: Fringe,254,229,96,25,254,254,NA,130312000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Johnson County Middle School,Johnson County,13167,31096,Wrightsville,4,270,0,146,112,8,0,0
1302190,JOHNSON ELEMENTARY,Georgia,41-Rural: Fringe,551,372,109,0,372,411,NA,130219000000,6-Not a Title I school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Johnson Elementary,Floyd County,13115,30161,Rome,24,545,1,460,41,17,2,0
1303870,JOHNSON ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,439,414,278,0,414,320,NA,130387000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Johnson Elementary School,Muscogee County,13215,31904,Columbus,41,408,0,158,180,27,1,1
1302610,JOHNSON HIGH SCHOOL,Georgia,41-Rural: Fringe,1589,933,415,133,1066,NA,1589,130261000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Johnson High School,Hall County,13139,30507,Gainesville,17,1439,1,311,70,1011,27,2
1301020,JOHNSON HIGH SCHOOL,Georgia,21-Suburb: Large,755,420,300,43,463,NA,755,130102000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Johnson High School,Chatham County,13051,31404,Savannah,17,773,1,39,684,28,3,1
