,School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2018-19,Urban-centric Locale [Public School] 2017-18,Urban-centric Locale [Public School] 2016-17,Urban-centric Locale [Public School] 2015-16,Urban-centric Locale [Public School] 2014-15,"Total Students, All Grades (Excludes AE) [Public School] 2018-19","Total Students, All Grades (Excludes AE) [Public School] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2016-17","Total Students, All Grades (Excludes AE) [Public School] 2015-16","Total Students, All Grades (Excludes AE) [Public School] 2014-15",Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Direct Certification [Public School] 2018-19,Direct Certification [Public School] 2017-18,Direct Certification [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15,Grades 1-8 Students [Public School] 2018-19,Grades 1-8 Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2016-17,Grades 1-8 Students [Public School] 2015-16,Grades 1-8 Students [Public School] 2014-15,Grades 9-12 Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2016-17,Grades 9-12 Students [Public School] 2015-16,Grades 9-12 Students [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2018-19,Title I School Status [Public School] 2017-18,Title I School Status [Public School] 2016-17,Title I School Status [Public School] 2015-16,Title I School Status [Public School] 2014-15,National School Lunch Program [Public School] 2018-19,National School Lunch Program [Public School] 2017-18,National School Lunch Program [Public School] 2016-17,National School Lunch Program [Public School] 2015-16,National School Lunch Program [Public School] 2014-15,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2014-15,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,White Students [Public School] 2018-19,White Students [Public School] 2014-15,Black Students [Public School] 2018-19,Black Students [Public School] 2014-15,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2014-15,LEAID
1051,HOWARD B. STROUD ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,403,429.0,412.0,399.0,435,371,395,380,367,418,233,244.0,293,0,0,0,0,9,371,395.0,380,367,427,277,313.0,287.0,285.0,315,,,,,,130117000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Howard B. Stroud Elementary School,Clarke County,13059.0,30601.0,Athens,19,10,403,435.0,2,0,22,23,285,338,74,61,1,1,0,2,1301170.0
1052,HOWARD ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,640,639.0,680.0,743.0,738,184,148,171,197,188,94,87.0,107,25,23,31,27,26,209,171.0,202,224,214,476,483.0,529.0,591.0,567,,,,,,130102000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Howard Elementary School,Chatham County,13051.0,31410.0,Savannah,22,21,640,738.0,0,0,520,571,45,44,23,36,28,63,2,3,1301020.0
1053,HOWARD HIGH SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,1200,1249.0,1256.0,1300.0,1186,1189,1238,1245,1288,1168,347,371.0,347,0,0,0,0,0,1189,1238.0,1245,1288,1168,,,,,,1200,1249.0,1256.0,1300.0,1186,130042000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Howard High School,Bibb County,13021.0,31210.0,Macon,22,27,1200,1186.0,1,1,300,377,762,680,52,43,60,57,3,1,1300420.0
1054,HOWARD MIDDLE SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,1009,993.0,926.0,933.0,921,1000,984,918,925,907,366,343.0,337,0,0,0,0,0,1000,984.0,918,925,907,999,993.0,926.0,933.0,921,,,,,,130042000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Howard Middle School,Bibb County,13021.0,31210.0,Macon,25,21,1009,921.0,3,1,197,230,689,590,64,32,30,45,1,2,1300420.0
1055,HUBERT MIDDLE SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,452,507.0,504.0,520.0,534,385,387,448,468,491,311,288.0,376,20,20,17,22,16,405,407.0,465,490,507,442,507.0,504.0,520.0,534,,,,,,130102000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Hubert Middle School,Chatham County,13051.0,31401.0,Savannah,10,20,452,534.0,0,0,13,6,418,503,11,4,0,1,0,0,1301020.0
1056,HUDDLESTON ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,603,594.0,638.0,618.0,642,114,133,129,145,147,52,82.0,69,34,29,23,26,32,148,162.0,152,171,179,479,483.0,515.0,540.0,545,,,,,,130213000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Huddleston Elementary School,Fayette County,13113.0,30269.0,Peachtree City,36,35,603,642.0,0,0,380,428,31,37,119,96,35,42,2,4,1302130.0
1057,HUIE ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,792,839.0,843.0,789.0,760,735,835,839,785,726,353,491.0,509,0,0,0,0,0,735,835.0,839,785,726,641,677.0,678.0,635.0,602,,,,,,130123000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Huie Elementary School,Clayton County,13063.0,30297.0,Forest Park,24,17,792,760.0,0,0,24,30,469,418,264,275,10,18,1,2,1301230.0
1058,HULL MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1301,1233.0,1251.0,1263.0,1275,287,276,293,287,303,92,130.0,111,95,85,76,74,69,382,361.0,369,361,372,1291,1233.0,1251.0,1263.0,1275,,,,,,130255000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Hull Middle School,Gwinnett County,13135.0,30097.0,Duluth,68,56,1301,1275.0,2,0,239,341,352,293,168,122,470,461,2,2,1302550.0
1059,HULL-SANFORD ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,589,594.0,603.0,616.0,597,344,346,382,398,368,230,166.0,268,47,47,39,48,45,391,393.0,421,446,413,437,462.0,460.0,483.0,433,,,,,,130348000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes under Provision 2,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Hull-Sanford Elementary School,Madison County,13195.0,30646.0,Hull,53,52,589,597.0,0,0,316,317,115,94,102,132,3,2,0,0,1303480.0
1060,HUMPHRIES ELEMENTARY SCHOOL,Georgia,11-City: Large,11-City: Large,11-City: Large,11-City: Large,11-City: Large,302,325.0,332.0,355.0,335,302,325,332,352,335,136,118.0,190,0,0,0,0,0,302,325.0,332,352,335,234,241.0,266.0,277.0,263,,,,,,130012000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Humphries Elementary School,Fulton County,13121.0,30354.0,Atlanta,1,5,302,335.0,1,0,1,0,269,286,29,43,0,0,1,1,1300120.0
1061,HUNT ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,610,607.0,638.0,698.0,670,534,531,558,611,635,368,361.0,372,0,0,0,0,0,534,531.0,558,611,635,469,470.0,515.0,537.0,530,,,,,,130405000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Hunt Elementary School,Peach County,13225.0,31030.0,Fort Valley,8,7,610,670.0,0,0,47,52,480,524,75,84,0,3,0,0,1304050.0
1062,HUNTINGTON MIDDLE SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,818,826.0,786.0,719.0,717,794,802,763,698,444,396,356.0,391,0,0,0,0,67,794,802.0,763,698,511,808,826.0,786.0,719.0,717,,,,,,130288000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Huntington Middle School,Houston County,13153.0,31088.0,Warner Robins,48,48,818,717.0,1,3,180,219,493,357,90,81,5,7,1,2,1302880.0
1063,HUNTLEY HILLS ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,530,529.0,531.0,492.0,493,314,317,329,298,296,121,131.0,152,33,29,26,19,26,347,346.0,355,317,322,389,395.0,394.0,366.0,356,,,,,,130174000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Huntley Hills Elementary School,DeKalb County,13089.0,30341.0,Chamblee,16,16,530,493.0,2,1,94,97,128,150,213,153,75,72,2,4,1301740.0
1064,HUTCHINGS HIGH - ALTERNATIVE SCHOOL PROGRAM,Georgia,,,,,12-City: Mid-size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130042000000.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1300420.0
1065,HUTCHINSON ELEMENTARY SCHOOL,Georgia,11-City: Large,11-City: Large,11-City: Large,11-City: Large,11-City: Large,445,457.0,482.0,472.0,438,445,457,482,469,438,175,153.0,264,0,0,0,0,0,445,457.0,482,469,438,360,362.0,389.0,365.0,323,,,,,,130012000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Hutchinson Elementary School,Fulton County,13121.0,30315.0,Atlanta,4,1,445,438.0,0,2,0,0,378,344,60,89,0,2,3,0,1300120.0
1066,HUTTO MIDDLE SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,774,760.0,728.0,730.0,760,725,757,720,722,751,378,401.0,251,0,0,0,0,0,725,757.0,720,722,751,762,760.0,728.0,730.0,760,,,,,,130171000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),6th Grade,5th Grade,Hutto Middle School,Decatur County,13087.0,39817.0,Bainbridge,22,18,774,760.0,1,0,299,284,356,387,88,70,7,1,1,0,1301710.0
1067,IDLEWOOD ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,993,1039.0,1015.0,961.0,953,875,903,864,846,914,517,518.0,511,56,44,59,60,35,931,947.0,923,906,949,773,808.0,772.0,749.0,722,,,,,,130174000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Idlewood Elementary School,DeKalb County,13089.0,30084.0,Tucker,12,10,993,953.0,0,1,34,16,750,738,47,32,147,152,3,4,1301740.0
1068,ILA ELEMENTARY SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,460,449.0,452.0,468.0,465,224,219,245,223,241,135,116.0,171,44,32,32,43,30,268,251.0,277,266,271,354,362.0,362.0,365.0,358,,,,,,130348000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes under Provision 2,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Ila Elementary School,Madison County,13195.0,30633.0,Danielsville,20,15,460,465.0,0,0,396,416,17,15,24,16,3,3,0,0,1303480.0
1069,INDEPENDENCE HIGH SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,211,175.0,175.0,172.0,176,93,73,95,122,83,40,33.0,51,13,10,13,10,14,106,83.0,108,132,97,,,,,,211,175.0,175.0,172.0,176,130228000000.0,6-Not a Title I school,6-Not a Title I school,2-Title I targeted assistance school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Independence High School,Fulton County,13121.0,30075.0,Roswell,7,8,211,176.0,0,1,51,39,44,60,108,67,0,1,1,0,1302280.0
1070,INDIAN CREEK ELEMENTARY,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,782,766.0,754.0,762.0,749,636,687,676,684,672,191,256.0,208,0,0,0,0,0,636,687.0,676,684,672,555,562.0,552.0,560.0,539,,,,,,130135000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Indian Creek Elementary,Coffee County,13069.0,31535.0,Douglas,30,16,782,749.0,0,0,473,475,130,141,140,111,7,5,2,1,1301350.0
1071,INDIAN CREEK ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,952,1182.0,1160.0,1067.0,1087,952,1182,1160,1064,1087,630,780.0,703,0,0,0,0,0,952,1182.0,1160,1064,1087,744,923.0,878.0,821.0,824,,,,,,130174000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Indian Creek Elementary School,DeKalb County,13089.0,30021.0,Clarkston,7,2,952,1087.0,4,16,44,54,289,336,23,40,580,637,5,2,1301740.0
1072,INDIAN CREEK MIDDLE SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,939,968.0,947.0,987.0,1008,538,540,527,529,516,336,329.0,348,79,110,87,85,94,617,650.0,614,614,610,929,968.0,947.0,987.0,1008,,,,,,130393000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Indian Creek Middle School,Newton County,13217.0,30014.0,Covington,31,40,939,1008.0,0,0,530,613,327,305,46,46,5,4,0,0,1303930.0
1073,INDIAN KNOLL ELEMENTARY,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,945,976.0,1035.0,1148.0,1113,226,247,262,310,298,78,122.0,88,47,36,49,58,51,273,283.0,311,368,349,770,811.0,856.0,1002.0,968,,,,,,130111000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Indian Knoll Elementary,Cherokee County,13057.0,30115.0,Canton,40,21,945,1113.0,0,0,690,830,36,57,168,181,11,23,0,1,1301110.0
1074,INGRAM/PYE ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,435,456.0,476.0,628.0,634,430,452,471,623,624,290,329.0,282,0,0,0,0,0,430,452.0,471,623,624,327,351.0,369.0,493.0,484,,,,,,130042000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Ingram/Pye Elementary School,Bibb County,13021.0,31204.0,Macon,3,4,435,634.0,0,0,5,9,423,614,4,6,0,0,0,1,1300420.0
1075,INMAN ELEMENTARY,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,678,646.0,635.0,621.0,559,132,162,157,172,153,79,104.0,88,37,38,51,36,35,169,200.0,208,208,188,546,535.0,521.0,515.0,454,,,,,,130213000000.0,6-Not a Title I school,6-Not a Title I school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Inman Elementary,Fayette County,13113.0,30215.0,Fayetteville,48,28,678,559.0,1,2,369,318,181,153,65,41,14,15,0,2,1302130.0
1076,INMAN MIDDLE SCHOOL,Georgia,11-City: Large,11-City: Large,11-City: Large,11-City: Large,11-City: Large,1065,1075.0,1091.0,1068.0,1001,154,207,301,323,355,117,145.0,219,13,18,27,25,37,167,225.0,328,348,392,1055,1075.0,1091.0,1068.0,1001,,,,,,130012000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Inman Middle School,Fulton County,13121.0,30306.0,Atlanta,60,49,1065,1001.0,0,1,570,408,320,441,80,77,30,22,5,3,1300120.0
1077,INTERNATIONAL ACADEMY OF SMYRNA,GEORGIA,21-Suburb: Large,21-Suburb: Large,,,,497,554.0,,,,264,240,,,,121,92.0,,75,100,,,,339,340.0,,,,419,475.0,,,,,,,,,130025000000.0,5-Title I schoolwide school,2-Title I targeted assistance school,,,,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,,,,6th Grade,Kindergarten,International Academy of Smyrna,Cobb County,13067.0,30080.0,Smyrna,21,,497,,0,,9,,355,,99,,10,,3,,1300249.0
1078,INTERNATIONAL ACADEMY OF SMYRNA,Georgia,,,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,,,1032.0,1088.0,1006,,,459,463,374,,,203,,,148,102,98,,,607,565,472,,,907.0,938.0,882,,,,,,130129000000.0,,,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,,,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,,,,,,,,,33,,1006.0,,0,,69,,764,,108,,29,,3,1301290.0
1079,INTERNATIONAL CHARTER ACADEMY OF GEORGIA,GEORGIA,21-Suburb: Large,,,,,140,,,,,.,,,,,3,,,.,,,,,3,,,,,86,,,,,,,,,,130025000000.0,2-Title I targeted assistance school,,,,,No,,,,,5th Grade,Kindergarten,International Charter Academy of Georgia,Gwinnett County,13135.0,30092.0,Peachtree Corners,39,,140,,1,,15,,32,,9,,44,,0,,1300250.0
1080,INTERNATIONAL CHARTER SCHOOL OF ATLANTA,GEORGIA,13-City: Small,13-City: Small,13-City: Small,13-City: Small,,733,637.0,552.0,384.0,,15,7,12,7,,3,3.0,3,4,0,0,0,,19,7.0,12,7,,604,515.0,421.0,283.0,,,,,,,130023000000.0,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,,7th Grade,Kindergarten,International Charter School of Atlanta,Fulton County,13121.0,30076.0,Roswell,67,,733,0.0,0,,270,,210,,139,,46,,1,,1300234.0
1081,INTERNATIONAL COMMUNITY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,431,437.0,420.0,408.0,401,297,279,267,266,228,188,173.0,44,25,26,14,31,25,322,305.0,281,297,253,352,361.0,351.0,339.0,336,,,,,,130174000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,International Community School,DeKalb County,13089.0,30033.0,Decatur,12,20,431,401.0,0,2,85,79,156,150,16,19,159,131,3,0,1301740.0
1082,INTERNATIONAL STUDENT CENTER,Georgia,,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,,234.0,247.0,214.0,290,,231,244,211,287,,185.0,225,,0,0,0,0,,231.0,244,211,287,,234.0,247.0,213.0,290,,,,1.0,,130174000000.0,,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,,,,,,,,,0,,290.0,,0,,16,,59,,135,,79,,1,1301740.0
1083,INTERNATIONAL STUDIES ELEMENTARY CHARTER SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,400,426.0,438.0,451.0,433,400,,438,448,433,161,147.0,340,0,,0,0,0,400,,438,448,433,321,351.0,359.0,364.0,359,,,,,,130183000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Kindergarten,International Studies Elementary Charter School,Dougherty County,13095.0,31705.0,Albany,9,13,400,433.0,1,0,29,31,277,301,83,81,1,1,0,6,1301830.0
1084,INTERNATIONAL TRANSITION CENTER,GEORGIA,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,,,181,132.0,9.0,,,138,120,6,,,18,16.0,3,8,6,0,,,146,126.0,6,,,13,19.0,,,,152,113.0,9.0,,,130255000000.0,5-Title I schoolwide school,5-Title I schoolwide school,6-Not a Title I school,,,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,,,11th Grade,8th Grade,International Transition Center,Gwinnett County,13135.0,30046.0,Lawrenceville,0,,181,,0,,1,,1,,176,,3,,0,,1302550.0
