School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2018-19,Urban-centric Locale [Public School] 2017-18,Urban-centric Locale [Public School] 2016-17,Urban-centric Locale [Public School] 2015-16,Urban-centric Locale [Public School] 2014-15,"Total Students, All Grades (Excludes AE) [Public School] 2018-19","Total Students, All Grades (Excludes AE) [Public School] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2016-17","Total Students, All Grades (Excludes AE) [Public School] 2015-16","Total Students, All Grades (Excludes AE) [Public School] 2014-15",Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Direct Certification [Public School] 2018-19,Direct Certification [Public School] 2017-18,Direct Certification [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15,Grades 1-8 Students [Public School] 2018-19,Grades 1-8 Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2016-17,Grades 1-8 Students [Public School] 2015-16,Grades 1-8 Students [Public School] 2014-15,Grades 9-12 Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2016-17,Grades 9-12 Students [Public School] 2015-16,Grades 9-12 Students [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2018-19,Title I School Status [Public School] 2017-18,Title I School Status [Public School] 2016-17,Title I School Status [Public School] 2015-16,Title I School Status [Public School] 2014-15,National School Lunch Program [Public School] 2018-19,National School Lunch Program [Public School] 2017-18,National School Lunch Program [Public School] 2016-17,National School Lunch Program [Public School] 2015-16,National School Lunch Program [Public School] 2014-15,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2014-15,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,White Students [Public School] 2018-19,White Students [Public School] 2014-15,Black Students [Public School] 2018-19,Black Students [Public School] 2014-15,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2014-15,Agency ID - NCES Assigned [Public School] Latest available year
HARRISON HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,2365,2206,2046,1990,1947,128,131,124,124,121,58,58,55,65,53,50,37,40,193,184,174,161,161,NA,NA,NA,NA,NA,2365,2206,2046,1990,1947,1.30129E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Harrison High School,Cobb County,13067,30152,Kennesaw,61,49,2365,1947,0,2,1776,1548,318,209,137,90,66,46,7,3,1301290
HART COUNTY HIGH SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,1012,1020,992,963,973,432,447,423,442,418,274,279,274,104,105,94,82,84,536,552,517,524,502,NA,NA,NA,NA,NA,1012,1020,992,963,973,1.30273E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Hart County High School,Hart County,13147,30643,Hartwell,36,22,1012,973,0,0,625,650,248,248,83,38,18,14,2,1,1302730
HART COUNTY MIDDLE SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,836,795,779,776,774,394,404,398,408,418,273,266,273,99,75,72,84,80,493,479,470,492,498,826,795,779,776,774,NA,NA,NA,NA,NA,1.30273E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Hart County Middle School,Hart County,13147,30643,Hartwell,34,15,836,774,0,0,544,495,177,198,73,55,8,9,0,2,1302730
HARTLEY ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,478,488,443,436,437,473,484,438,432,431,292,352,278,0,0,0,0,0,473,484,438,432,431,371,373,346,328,339,NA,NA,NA,NA,NA,1.30042E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Hartley Elementary School,Bibb County,13021,31204,Macon,6,9,478,437,0,0,4,5,464,419,3,2,1,1,0,1,1300420
HARTWELL ELEMENTARY SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,512,550,524,567,561,309,327,279,301,316,221,217,215,42,47,48,47,44,351,374,327,348,360,396,432,433,438,440,NA,NA,NA,NA,NA,1.30273E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Hartwell Elementary School,Hart County,13147,30643,Hartwell,31,28,512,561,0,0,244,302,214,197,18,26,5,7,0,1,1302730
HAVEN ACADEMY,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30129E+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1301290
HAVEN ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,429,410,430,418,463,375,340,401,386,427,272,263,349,11,6,7,7,17,386,346,408,393,444,305,309,316,300,331,NA,NA,NA,NA,NA,1.30102E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Haven Elementary School,Chatham County,13051,31405,Savannah,2,27,429,463,0,0,3,9,420,422,4,3,0,0,0,2,1301020
HAW CREEK ELEMENTARY,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1067,1092,1135,978,949,63,63,68,79,62,22,36,32,11,14,17,13,15,74,77,85,92,77,898,935,976,822,816,NA,NA,NA,NA,NA,1.30222E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Haw Creek Elementary,Forsyth County,13117,30041,Cumming,50,28,1067,949,0,0,684,729,28,18,76,82,223,89,6,3,1302220
HAWKINSVILLE HIGH SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,365,364,382,389,376,300,299,314,238,210,116,144,163,0,0,0,25,22,300,299,314,263,232,NA,NA,NA,NA,NA,365,364,382,389,376,1.30422E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Hawkinsville High School,Pulaski County,13235,31036,Hawkinsville,8,13,365,376,1,1,190,199,141,137,21,20,3,6,1,0,1304220
HAWTHORNE ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,380,402,461,454,398,211,211,241,228,191,98,110,121,14,13,16,15,14,225,224,257,243,205,307,330,382,376,322,NA,NA,NA,NA,NA,1.30174E+11,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Hawthorne Elementary School,DeKalb County,13089,30345,Atlanta,17,16,380,398,0,0,95,135,109,112,156,115,2,19,1,1,1301740
HAWTHORNE ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,914,946,949,962,917,849,941,944,957,876,347,497,549,0,0,0,0,0,849,941,944,957,876,742,785,785,793,760,NA,NA,NA,NA,NA,1.30123E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Hawthorne Elementary School,Clayton County,13063,30228,Hampton,24,33,914,917,0,0,20,49,630,565,226,259,14,10,0,1,1301230
HAYES ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,890,871,862,881,959,379,381,435,471,493,179,132,236,65,62,72,52,81,444,443,507,523,574,719,719,705,719,774,NA,NA,NA,NA,NA,1.30129E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Hayes Elementary School,Cobb County,13067,30152,Kennesaw,35,34,890,959,0,1,272,274,338,319,200,265,43,62,2,4,1301290
HAYMON-MORRIS MIDDLE SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,851,810,767,726,715,377,341,309,319,334,134,174,140,110,92,80,79,83,487,433,389,398,417,841,810,767,726,715,NA,NA,NA,NA,NA,1.30029E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Haymon-Morris Middle School,Barrow County,13013,30680,Winder,44,26,851,715,1,0,489,451,105,96,179,117,31,23,2,2,1300290
HAYNES BRIDGE MIDDLE SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,683,744,773,820,742,174,200,198,200,167,52,64,94,34,50,46,47,29,208,250,244,247,196,673,744,773,820,742,NA,NA,NA,NA,NA,1.30228E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Haynes Bridge Middle School,Fulton County,13121,30022,Alpharetta,38,31,683,742,0,0,328,388,135,157,148,126,32,40,2,0,1302280
HAYNIE ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,928,892,870,905,861,862,887,866,900,822,356,469,498,0,0,0,0,0,862,887,866,900,822,751,744,719,743,723,NA,NA,NA,NA,NA,1.30123E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Haynie Elementary School,Clayton County,13063,30260,Morrow,37,15,928,861,1,1,27,28,335,370,467,384,58,61,3,2,1301230
HAZEL GROVE ELEMENTARY SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,315,241,222,201,184,118,95,93,92,69,73,65,76,45,19,11,17,26,163,114,104,109,95,267,192,189,174,154,NA,NA,NA,NA,NA,1.30258E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,Hazel Grove Elementary School,Habersham County,13137,30563,Mount Airy,10,4,315,184,0,0,239,156,3,0,58,20,5,4,0,0,1302580
HEAD ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,615,611,582,543,545,131,163,152,137,150,60,89,68,47,46,46,50,57,178,209,198,187,207,501,513,485,450,465,NA,NA,NA,NA,NA,1.30255E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Head Elementary School,Gwinnett County,13135,30047,Lilburn,55,33,615,545,0,3,240,257,138,133,83,63,96,56,3,0,1302550
HEARD COUNTY HIGH SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,593,618,636,635,611,289,320,337,312,271,187,217,214,50,55,62,71,76,339,375,399,383,347,NA,NA,NA,NA,NA,593,618,636,635,611,1.30279E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Heard County High School,Heard County,13149,30217,Franklin,25,24,593,611,0,0,482,507,68,61,15,16,3,3,0,0,1302790
HEARD COUNTY MIDDLE SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,481,462,421,438,453,244,228,228,244,267,161,159,153,39,41,42,43,56,283,269,270,287,323,471,462,421,438,453,NA,NA,NA,NA,NA,1.30279E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Heard County Middle School,Heard County,13149,30217,Franklin,26,21,481,453,0,0,400,362,35,53,14,14,4,3,2,0,1302790
HEARD ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,635,639,612,616,583,312,296,276,302,325,172,151,197,56,47,51,43,67,368,343,327,345,392,474,492,467,472,452,NA,NA,NA,NA,NA,1.30102E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Heard Elementary School,Chatham County,13051,31405,Savannah,38,39,635,583,0,1,159,171,382,324,40,39,14,9,2,0,1301020
HEARD ELEMENTARY SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,686,697,665,647,626,428,487,445,422,407,237,281,309,56,53,61,57,62,484,540,506,479,469,498,511,486,484,467,NA,NA,NA,NA,NA,1.30279E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Heard Elementary School,Heard County,13149,30217,Franklin,42,37,686,626,0,0,563,508,50,60,31,19,0,1,0,1,1302790
HEARD ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,561,577,584,625,584,555,572,578,620,575,158,162,164,0,0,0,0,0,555,572,578,620,575,424,447,438,466,448,NA,NA,NA,NA,NA,1.30042E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Heard Elementary School,Bibb County,13021,31216,Macon,21,19,561,584,0,0,293,335,195,176,43,40,8,13,1,1,1300420
HEARD-MIXON ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,414,428,460,460,494,251,262,297,298,311,158,173,218,32,32,41,29,41,283,294,338,327,352,331,350,369,371,386,NA,NA,NA,NA,NA,1.30393E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Heard-Mixon Elementary School,Newton County,13217,30014,Covington,17,16,414,494,0,1,246,309,97,122,52,45,1,1,1,0,1303930
HEARDS FERRY ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,13-City: Small,794,782,726,705,698,23,35,46,42,29,8,14,25,3,7,2,4,6,26,42,48,46,35,619,582,555,542,560,NA,NA,NA,NA,NA,1.30228E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Heards Ferry Elementary School,Fulton County,13121,30339,Atlanta,38,16,794,698,0,0,625,572,52,43,43,39,34,28,2,0,1302280
HEART OF GEORGIA GNETS PROGRAM,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30002E+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300017
HEMBREE SPRINGS ELEMENTARY SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,620,656,644,841,826,250,261,264,319,311,82,91,129,32,28,28,19,13,282,289,292,338,324,470,508,517,625,641,NA,NA,NA,NA,NA,1.30228E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Hembree Springs Elementary School,Fulton County,13121,30076,Roswell,24,18,620,826,0,2,229,400,61,82,244,281,62,42,0,1,1302280
HENDERSON MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1486,1539,1551,1621,1578,760,773,767,828,825,334,349,396,67,60,38,52,68,827,833,805,880,893,1476,1539,1551,1621,1578,NA,NA,NA,NA,NA,1.30174E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Henderson Middle School,DeKalb County,13089,30341,Chamblee,47,31,1486,1578,5,2,381,472,347,407,652,566,48,96,6,4,1301740
HENDERSON MIDDLE SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,31-Town: Fringe,31-Town: Fringe,834,813,801,754,771,739,707,696,655,596,299,288,306,0,0,0,0,0,739,707,696,655,596,824,813,801,754,771,NA,NA,NA,NA,NA,1.30069E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Henderson Middle School,Butts County,13035,30233,Jackson,39,31,834,771,0,0,471,487,279,230,40,22,4,0,1,1,1300690
HENDERSON MILL ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,559,578,607,604,604,313,349,393,382,375,137,159,211,29,31,23,24,33,342,380,416,406,408,452,472,476,484,490,NA,NA,NA,NA,NA,1.30174E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Henderson Mill Elementary School,DeKalb County,13089,30345,Atlanta,21,21,559,604,2,5,111,104,128,162,257,270,36,37,4,5,1301740
HENDRICKS ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,606,623,588,568,534,415,415,404,367,354,206,209,223,60,75,52,45,40,475,490,456,412,394,500,507,507,467,459,NA,NA,NA,NA,NA,1.30129E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Hendricks Elementary School,Cobb County,13067,30127,Powder Springs,23,15,606,534,2,2,70,71,381,357,115,79,9,10,6,0,1301290
HENRY COUNTY HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1070,1045,1055,1060,1031,587,642,607,681,683,333,456,388,99,81,95,84,95,686,723,702,765,778,NA,NA,NA,NA,NA,1070,1045,1055,1060,1031,1.30282E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Henry County High School,Henry County,13151,30253,Mcdonough,30,32,1070,1031,2,0,75,68,856,839,93,69,14,22,0,1,1302820
HENRY COUNTY MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,776,724,711,733,789,513,537,490,534,560,303,378,339,63,47,77,67,87,576,584,567,601,647,766,724,711,733,789,NA,NA,NA,NA,NA,1.30282E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Henry County Middle School,Henry County,13151,30253,McDonough,33,32,776,789,1,1,46,56,610,646,76,42,9,12,1,0,1302820
HEPHZIBAH ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,390,391,399,384,470,376,377,386,372,454,151,223,201,0,0,0,0,0,376,377,386,372,454,281,293,299,295,360,NA,NA,NA,NA,NA,1.30438E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Hephzibah Elementary School,Richmond County,13245,30815,Hephzibah,17,22,390,470,0,4,160,262,185,160,28,20,0,2,0,0,1304380
HEPHZIBAH HIGH SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,965,979,1019,981,976,930,943,986,950,945,296,455,329,0,0,0,0,0,930,943,986,950,945,NA,NA,NA,NA,NA,965,979,1019,981,976,1.30438E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,6-Not a Title I school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Hephzibah High School,Richmond County,13245,30815,Hephzibah,27,10,965,976,12,7,284,356,598,562,39,37,4,4,1,0,1304380
